"HOUSEHOLD DATA
 ANNUAL AVERAGES
 39. Median weekly earnings of full-time wage and salary workers by detailed occupation and sex",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
[Numbers in thousands],,,,,,
,,,,,,
Occupation,2025,,,,,
,Total,,Men,,Women,
,Number of workers,Median weekly earnings,Number of workers,Median weekly earnings,Number of workers,Median weekly earnings
,,,,,,
Data entry keyers,180,897,53,910,127,884
Word processors and typists,48,–,7,–,40,–
Desktop publishers,0,–,0,–,0,–
Insurance claims and policy processing clerks,255,901,54,1016,202,883
"Mail clerks and mail machine operators, except postal service",48,–,26,–,21,–
"Office clerks, general",1046,970,205,1186,842,924
"Office machine operators, except computer",16,–,9,–,8,–
Proofreaders and copy markers,7,–,1,–,6,–
Statistical assistants,34,–,9,–,25,–
"Office and administrative support workers, all other",741,1080,198,1151,543,1059
,,,,,,
"Natural resources, construction, and maintenance occupations",11364,1101,10774,1116,590,854
"Farming, fishing, and forestry occupations",727,729,552,781,175,656
"First-line supervisors of farming, fishing, and forestry workers",36,–,32,–,5,–
Agricultural inspectors,14,–,7,–,7,–
Animal breeders,5,–,4,–,1,–
"Graders and sorters, agricultural products",52,717,20,–,32,–
Miscellaneous agricultural workers,561,718,433,776,129,633
Fishing and hunting workers,20,–,19,–,2,–
Forest and conservation workers,12,–,12,–,0,–
Logging workers,26,–,26,–,0,–
Construction and extraction occupations,6364,1096,6136,1105,228,977
First-line supervisors of construction trades and extraction workers,569,1519,560,1516,9,–
Boilermakers,13,–,11,–,2,–
"Brickmasons, blockmasons, and stonemasons",88,1140,88,1140,0,–
Carpenters,757,1019,743,1023,14,–
"Carpet, floor, and tile installers and finishers",75,989,72,969,3,–
"Cement masons, concrete finishers, and terrazzo workers",42,–,42,–,0,–
Construction laborers,1735,939,1659,946,76,887
Construction equipment operators,386,1230,364,1226,21,–
"Drywall installers, ceiling tile installers, and tapers",94,812,92,829,3,–
Electricians,856,1376,830,1379,26,–
Glaziers,31,–,31,–,0,–
Insulation workers,34,–,33,–,1,–
Painters and paperhangers,320,829,297,824,23,–
Pipelayers,49,–,49,–,0,–
"Plumbers, pipefitters, and steamfitters",488,1198,471,1209,18,–
Plasterers and stucco masons,25,–,25,–,0,–
Reinforcing iron and rebar workers,8,–,8,–,0,–
Roofers,186,910,186,910,0,–
Sheet metal workers,125,1154,119,1179,6,–
Structural iron and steel workers,36,–,36,–,0,–
Solar photovoltaic installers,23,–,19,–,4,–
"Helpers, construction trades",39,–,36,–,3,–
Construction and building inspectors,89,1256,78,1261,11,–
Elevator and escalator installers and repairers,28,–,28,–,0,–
Fence erectors,24,–,24,–,0,–
Hazardous materials removal workers,20,–,18,–,2,–
Highway maintenance workers,52,1116,48,–,4,–
Rail-track laying and maintenance equipment operators,8,–,8,–,0,–
Septic tank servicers and sewer pipe cleaners,7,–,7,–,0,–
Miscellaneous construction and related workers,21,–,21,–,0,–
"Derrick, rotary drill, and service unit operators, oil and gas",18,–,18,–,0,–
"Excavating and loading machine and dragline operators, surface mining",2,–,2,–,0,–
"Earth drillers, except oil and gas",23,–,23,–,0,–
"Explosives workers, ordnance handling experts, and blasters",12,–,10,–,2,–
Underground mining machine operators,37,–,36,–,1,–
"Roustabouts, oil and gas",9,–,9,–,0,–
Other extraction workers,33,–,33,–,0,–
"Installation, maintenance, and repair occupations",4273,1180,4086,1185,187,1091
"First-line supervisors of mechanics, installers, and repairers",260,1434,245,1455,15,–
"Computer, automated teller, and office machine repairers",117,1059,97,1073,21,–
Radio and telecommunications equipment installers and repairers,118,1277,112,1277,6,–
Avionics technicians,9,–,9,–,0,–
"Electric motor, power tool, and related repairers",20,–,18,–,2,–
"Electrical and electronics installers and repairers, transportation equipment",4,–,4,–,0,–
"Electrical and electronics repairers, industrial and utility",8,–,6,–,2,–
"Electronic equipment installers and repairers, motor vehicles",9,–,7,–,2,–
Audiovisual equipment installers and repairers,38,–,36,–,3,–
Security and fire alarm systems installers,44,–,44,–,0,–
Aircraft mechanics and service technicians,142,1485,128,1505,14,–
Automotive body and related repairers,105,1123,100,1097,5,–
Automotive glass installers and repairers,22,–,22,–,0,–
Automotive service technicians and mechanics,699,1055,688,1061,11,–
Bus and truck mechanics and diesel engine specialists,348,1148,340,1147,8,–
Heavy vehicle and mobile equipment service technicians and mechanics,146,1276,140,1308,6,–
Small engine mechanics,29,–,29,–,0,–
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",72,824,68,830,4,–
Control and valve installers and repairers,20,–,20,–,0,–
"Heating, air conditioning, and refrigeration mechanics and installers",469,1145,456,1150,13,–
Home appliance repairers,31,–,29,–,2,–
Industrial and refractory machinery mechanics,302,1256,295,1268,7,–
"Maintenance and repair workers, general",594,1159,571,1167,22,–
"Maintenance workers, machinery",75,1384,74,1385,1,–
Millwrights,44,–,40,–,3,–
Electrical power-line installers and repairers,145,1725,138,1743,7,–
Telecommunications line installers and repairers,114,1410,101,1462,13,–
Precision instrument and equipment repairers,46,–,37,–,9,–
Wind turbine service technicians,7,–,7,–,0,–
"Coin, vending, and amusement machine servicers and repairers",25,–,22,–,3,–
Commercial divers,0,–,0,–,0,–
Locksmiths and safe repairers,25,–,25,–,0,–
Manufactured building and mobile home installers,0,–,0,–,0,–
Riggers,13,–,13,–,0,–
"Helpers--installation, maintenance, and repair workers",5,–,5,–,0,–
"Other installation, maintenance, and repair workers",168,1073,158,1081,10,–
,,,,,,
"Production, transportation, and material moving occupations",15701,924,12240,984,3462,777
Production occupations,6913,969,5150,1034,1763,795
First-line supervisors of production and operating workers,735,1304,589,1408,146,986
"Aircraft structure, surfaces, rigging, and systems assemblers",3,–,3,–,0,–
"Electrical, electronics, and electromechanical assemblers",93,820,51,916,42,–
Engine and other machine assemblers,12,–,10,–,2,–
Structural metal fabricators and fitters,23,–,21,–,2,–
Other assemblers and fabricators,829,903,576,943,253,830
Bakers,143,758,66,828,76,705
"Butchers and other meat, poultry, and fish processing workers",188,772,144,808,44,–
"Food and tobacco roasting, baking, and drying machine operators and tenders",7,–,5,–,2,–
Food batchmakers,73,819,30,–,44,–
Food cooking machine operators and tenders,11,–,11,–,1,–
"Food processing workers, all other",107,815,63,824,43,–
Computer numerically controlled tool operators and programmers,64,987,62,999,2,–
"Forming machine setters, operators, and tenders, metal and plastic",18,–,13,–,5,–
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",46,–,41,–,6,–
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",41,–,36,–,6,–
"Other machine tool setters, operators, and tenders, metal and plastic",4,–,4,–,0,–
Machinists,270,1093,253,1111,17,–
"Metal furnace operators, tenders, pourers, and casters",20,–,20,–,0,–
"Model makers and patternmakers, metal and plastic",0,–,0,–,0,–
"Molders and molding machine setters, operators, and tenders, metal and plastic",32,–,29,–,3,–
Tool and die makers,27,–,25,–,2,–
